Country,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,3-Feb-20,4-Feb-20,5-Feb-20,6-Feb-20,7-Feb-20,8-Feb-20,9-Feb-20,10-Feb-20,11-Feb-20,12-Feb-20,13-Feb-20,14-Feb-20,15-Feb-20,16-Feb-20,17-Feb-20,18-Feb-20,19-Feb-20,20-Feb-20,21-Feb-20,22-Feb-20,23-Feb-20,24-Feb-20,25-Feb-20,26-Feb-20,27-Feb-20,28-Feb-20,29-Feb-20,1-Mar-20,2-Mar-20,3-Mar-20,4-Mar-20,5-Mar-20,6-Mar-20,7-Mar-20,8-Mar-20,9-Mar-20,10-Mar-20,11-Mar-20,12-Mar-20,13-Mar-20,14-Mar-20,15-Mar-20,16-Mar-20,17-Mar-20,18-Mar-20,19-Mar-20,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,,,,,,
Australia,,,,,,,,,,4,4,5,7,7,9,12,12,12,12,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,21,21,22,23,23,23,24,25,28,33,39,50,57,63,74,80,93,107,128,156,199,250,300,375,452,568,709,876,1072,1353,1887,2144,2431,2985,3180,3640,3980,4317,,,,,,
United Kingdom,,,,,,,,,,,,,,,,2,2,2,2,2,2,3,3,3,4,8,8,9,9,9,9,9,9,9,9,9,9,13,13,13,13,16,20,23,36,40,51,87,115,164,209,273,321,382,456,590,798,1143,1391,1551,1950,2642,3269,3983,5067,5683,6650,8077,9529,11772,14543,17089,19522,22141,,,,,,
United Arab Emirates,,,,,,,,,,,,,4,4,4,4,5,5,5,5,5,5,7,7,7,8,8,8,8,8,8,9,9,9,9,9,13,13,13,13,13,19,19,21,21,21,27,28,28,44,45,45,59,74,74,85,85,85,98,98,113,113,140,140,153,153,198,248,333,333,405,468,570,570,,,,,,
Canada,,,,,,,,,,,1,2,3,3,3,4,4,4,4,5,5,5,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,11,11,12,13,14,16,20,27,29,33,37,51,60,64,77,80,102,142,179,249,321,406,479,657,801,951,1329,1436,2091,2792,3367,3910,4633,5576,6280,6671,,,,,,
Vietnam,,,,,,,,2,2,2,2,2,2,2,5,6,7,8,10,10,10,12,13,14,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,20,30,31,34,39,44,47,53,56,61,61,75,85,91,94,113,123,134,141,153,163,174,188,188,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,15,22,24,38,58,93,95,210,268,332,374,497,652,868,1139,1375,2217,2353,2742,3028,4222,5407,6863,7474,8547,9877,10897,11811,12928,14076,14829,15760,,,,,,
Sweden,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,11,12,14,15,30,52,94,137,162,203,261,355,500,687,814,961,1040,1121,1191,1279,1439,1639,1770,1931,2046,2286,2526,2840,3069,3447,3700,4028,,,,,,
Macao,,,,,,,1,2,2,2,5,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,17,17,18,22,25,28,30,31,34,34,37,37,,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,7,8,13,19,26,32,35,35,40,54,60,71,71,71,83,101,101,124,133,154,164,192,208,214,233,266,316,346,382,458,506,547,547,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,8,10,14,18,24,27,43,66,81,104,140,182,263,361,504,655,860,1018,1332,1646,2179,2649,2992,3580,4474,5283,5588,6847,7657,8188,8743,9520,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,3,3,7,10,10,12,15,17,21,21,39,50,75,109,130,143,193,213,298,337,433,677,705,883,1071,1442,1930,2369,2693,3035,3619,4247,4347,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,6,6,6,6,6,12,15,16,16,16,16,18,18,18,18,19,19,22,22,22,39,48,48,52,55,66,84,99,109,131,152,167,167,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,6,15,19,25,33,59,91,127,156,176,224,374,629,795,992,1091,1250,1337,1469,1550,1790,1949,2164,2263,2621,2779,3066,3369,3755,4013,4271,4455,,,,,,
Russia,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,13,14,17,20,20,28,34,45,59,63,93,114,147,199,253,306,367,438,495,658,840,1036,1264,1534,1836,,,,,,
